monthly_allowance,distance_from_campus,accommodation_type,transport_type,meal_habits,outings_per_month,gaming_hours,club_events,mobile_data_usage,year_of_study,printing_frequency,predicted_spending
23952,3.5,rented,bicycle,home,2,6,5,15.1,1,18,11517
16825,1.1,hostel,bicycle,home,8,38,0,11.7,4,7,10307
17719,17.8,hostel,bicycle,mixed,5,17,1,5.1,3,3,9588
6039,11.5,rented,public,cafe,12,2,5,9.7,1,29,9304
15403,2.5,rented,public,home,11,4,0,13.6,3,2,10815
10628,26.0,home,public,mixed,10,23,1,8.0,2,21,9208
11748,21.1,hostel,bicycle,home,2,29,3,6.1,2,21,7226
13626,25.3,hostel,bicycle,mess,12,20,3,6.1,2,29,10543
21585,26.3,rented,bicycle,mixed,6,29,1,6.0,2,23,12732
21394,16.3,home,own_vehicle,cafe,3,8,4,10.4,1,27,11428
6592,4.8,pg,own_vehicle,mess,6,24,4,19.9,3,17,8372
3376,20.5,hostel,public,cafe,1,18,3,4.0,1,30,4856
11630,29.2,pg,walk,cafe,10,32,4,4.8,3,24,10771
8293,16.3,hostel,public,mixed,0,7,2,17.7,3,7,5895
4898,7.4,hostel,walk,mixed,1,34,6,3.4,4,30,5515
21015,5.1,home,bicycle,home,11,19,3,19.9,3,14,12305
19959,13.7,pg,bicycle,mess,5,1,4,11.5,2,0,10364
5326,21.3,hostel,bicycle,mess,0,21,0,10.8,3,21,4663
18906,6.6,pg,own_vehicle,home,12,30,6,8.7,1,3,13176
24593,13.0,home,own_vehicle,mixed,11,3,5,13.4,1,1,13900
16193,21.9,hostel,bicycle,home,3,34,3,3.7,2,8,8780
18159,7.6,hostel,own_vehicle,mess,0,34,6,1.3,1,29,9730
10745,5.2,home,own_vehicle,home,6,3,1,8.2,4,8,7477
17909,8.7,home,bicycle,home,4,13,0,12.0,1,23,8707
13276,1.9,home,bicycle,mess,8,5,6,4.5,1,21,8266
10707,12.2,pg,walk,mess,6,37,4,10.9,3,6,8754
24945,21.5,pg,public,mixed,2,19,3,7.0,1,0,11940
18017,18.7,hostel,walk,home,8,16,1,18.7,1,28,10672
11004,11.2,pg,own_vehicle,cafe,9,33,0,13.7,3,29,11018
24737,3.3,pg,public,mess,1,35,1,6.2,2,22,11709
14235,6.3,rented,own_vehicle,cafe,0,5,5,9.0,3,1,9176
3116,10.1,pg,public,home,11,28,4,14.4,1,3,7360
5465,28.4,pg,walk,cafe,9,35,1,9.2,1,9,8107
14948,27.0,hostel,public,home,10,15,5,3.0,4,19,10536
8064,27.8,pg,bicycle,home,6,1,1,15.0,3,25,7244
16491,24.1,pg,public,home,12,6,3,17.6,4,7,11971
9539,24.5,home,public,cafe,12,14,1,1.4,2,12,8977
13756,8.5,hostel,public,cafe,10,32,3,13.9,3,30,11330
3904,3.6,rented,bicycle,cafe,0,6,4,9.3,3,13,5105
22864,29.5,hostel,own_vehicle,home,4,2,5,9.3,2,11,11703
17132,2.3,rented,public,mess,11,19,4,6.9,4,10,12245
16185,21.0,pg,bicycle,mixed,10,24,5,15.2,2,19,11979
21648,9.2,hostel,public,cafe,3,27,6,12.0,3,14,11859
17476,13.4,pg,own_vehicle,home,10,5,2,10.8,3,2,11575
10696,20.2,pg,bicycle,home,0,2,1,19.7,1,14,6241
16580,26.6,pg,own_vehicle,mixed,6,15,1,13.5,1,28,11358
6492,23.4,pg,bicycle,mixed,0,35,1,18.4,1,14,6242
7369,24.1,rented,own_vehicle,mixed,8,28,1,15.1,4,14,9951
11493,22.6,rented,own_vehicle,home,4,28,0,14.6,2,8,9374
14005,9.7,hostel,bicycle,home,3,24,5,3.9,2,2,7675
16594,12.3,home,own_vehicle,mess,3,26,3,18.2,1,27,10047
21864,11.5,hostel,public,cafe,12,24,6,17.9,4,17,14625
20895,24.0,pg,own_vehicle,home,4,27,3,1.6,3,21,11881
16248,21.8,home,bicycle,mess,6,37,4,13.6,1,20,10149
17044,4.2,home,bicycle,mess,4,24,2,5.0,3,10,8752
15423,8.5,home,public,mess,7,1,5,11.2,3,7,9180
24303,2.2,hostel,walk,home,3,1,4,3.9,2,15,10228
24936,3.6,pg,own_vehicle,cafe,12,23,1,12.5,1,24,15584
8366,28.9,hostel,walk,cafe,9,24,3,18.9,2,2,8876
22401,20.8,pg,walk,cafe,10,38,6,3.3,1,11,13939
20456,13.0,rented,walk,cafe,0,26,6,10.3,4,30,11631
14868,19.1,home,bicycle,mixed,2,33,5,6.1,4,14,8763
17272,24.8,rented,public,home,1,17,3,5.6,4,18,9832
22999,20.1,rented,walk,mixed,5,11,3,5.0,3,10,12304
12163,26.4,rented,walk,home,1,15,5,8.7,2,22,7986
18600,19.4,home,own_vehicle,mess,1,18,1,8.7,2,9,9362
