monthly_allowance,distance_from_campus,accommodation_type,transport_type,meal_habits,outings_per_month,gaming_hours,club_events,mobile_data_usage,year_of_study,printing_frequency,predicted_spending
22981,26.9,hostel,walk,mess,7,39,1,14.5,2,12,12310
14655,4.6,pg,public,cafe,6,15,0,7.3,3,21,9576
5569,22.2,home,own_vehicle,mess,1,29,3,7.1,4,5,5521
12108,24.1,rented,walk,mixed,10,2,4,13.8,3,0,9393
19215,10.0,rented,bicycle,mess,5,12,5,8.4,4,4,11093
17332,15.7,rented,walk,mixed,11,1,2,2.6,2,27,11213
4489,12.4,home,own_vehicle,home,1,8,4,3.0,4,17,4692
10940,16.7,hostel,bicycle,mixed,8,21,1,9.5,2,3,7676
12462,29.4,pg,public,mess,3,30,0,10.1,1,27,8413
16962,20.7,hostel,public,home,0,26,4,6.0,2,27,9048
16928,23.4,hostel,own_vehicle,mixed,2,12,4,8.5,3,21,10107
16558,1.6,home,own_vehicle,mixed,5,22,4,7.8,2,23,9962
13719,8.9,hostel,public,mixed,7,8,2,19.6,3,1,8871
8860,10.0,hostel,walk,cafe,12,20,4,9.5,2,10,7837
18873,15.2,rented,own_vehicle,home,0,33,0,3.9,1,0,10300
12380,2.8,hostel,own_vehicle,cafe,9,15,0,8.7,1,16,8988
24991,3.7,hostel,walk,cafe,10,23,5,8.3,4,2,13443
10568,19.5,hostel,public,mixed,10,22,0,1.8,3,10,8152
21087,9.2,pg,bicycle,mixed,0,25,6,17.9,1,29,11120
24325,11.7,rented,bicycle,cafe,6,22,5,14.2,1,29,13727
10381,23.7,home,bicycle,home,6,18,3,3.7,2,9,6746
14888,9.9,hostel,own_vehicle,mess,8,14,1,7.6,3,27,9949
24064,20.1,rented,public,mixed,6,15,5,12.5,1,23,13562
4142,7.9,pg,walk,cafe,11,35,6,15.5,4,15,7165
23708,5.1,rented,walk,cafe,0,36,3,3.1,4,1,12192
21501,17.5,home,bicycle,mess,7,0,4,10.5,1,28,11096
16041,29.1,hostel,bicycle,mess,3,40,4,6.6,1,21,9200
8918,16.6,rented,walk,mess,6,16,2,6.0,4,12,7575
8028,11.2,pg,walk,home,5,14,3,3.1,4,12,6370
22447,15.1,home,bicycle,home,12,37,2,18.6,3,15,12774
12178,11.0,hostel,own_vehicle,mess,7,14,5,5.2,3,24,8898
19254,3.0,home,walk,cafe,2,24,6,2.6,3,14,9851
5869,26.9,rented,walk,cafe,4,6,2,4.5,3,9,6274
14305,20.5,pg,own_vehicle,cafe,11,23,2,2.6,1,26,10852
10182,28.0,home,walk,cafe,9,32,3,16.7,2,0,8035
22757,5.8,pg,own_vehicle,home,9,25,2,15.0,3,28,13552
8689,24.5,home,walk,mixed,4,7,2,9.3,3,0,6021
8582,13.2,hostel,bicycle,cafe,3,18,1,7.2,3,12,6341
5828,16.8,pg,own_vehicle,home,1,13,4,5.9,1,27,5721
14799,10.5,hostel,public,cafe,2,40,2,15.7,4,10,9293
3217,11.2,hostel,public,home,11,0,3,4.0,1,4,4758
15821,5.8,rented,walk,home,10,39,1,10.3,1,23,10554
11134,4.7,home,bicycle,mixed,3,15,1,17.7,2,14,6883
17652,27.5,home,own_vehicle,cafe,6,39,2,18.3,1,18,11260
23793,25.4,home,own_vehicle,mixed,12,18,4,14.0,3,8,14025
22893,18.4,hostel,bicycle,mixed,7,22,5,17.8,2,27,12637
16214,12.4,rented,walk,cafe,3,25,5,9.0,4,20,10470
19429,6.4,pg,walk,home,1,25,0,18.1,2,27,10137
6516,14.6,hostel,public,home,4,2,1,11.5,2,6,5178
9543,3.2,rented,walk,mess,1,25,3,6.3,1,5,6459
