monthly_allowance,distance_from_campus,accommodation_type,transport_type,meal_habits,outings_per_month,gaming_hours,club_events,mobile_data_usage,year_of_study,printing_frequency,predicted_spending
16426,3.7,hostel,public,mixed,9,34,5,5.7,3,11,13240
24651,15.0,hostel,bicycle,mixed,6,23,5,19.1,4,17,14730
15598,23.0,rented,walk,home,5,28,1,6.9,2,10,10953
13687,6.9,rented,own_vehicle,mess,12,28,5,6.7,2,18,14916
22917,0.9,rented,own_vehicle,home,12,39,3,9.0,3,2,17528
17348,17.3,home,own_vehicle,mess,8,0,4,15.9,4,9,12177
19319,7.8,rented,public,mixed,4,4,4,4.7,3,3,11137
16466,14.0,rented,own_vehicle,cafe,3,25,5,12.0,1,12,12883
12599,23.3,hostel,public,cafe,5,0,6,12.5,4,28,10346
3324,9.9,pg,walk,mess,2,25,1,19.3,1,12,6250
16114,8.8,hostel,walk,home,4,34,6,5.8,1,24,10348
10256,0.2,pg,walk,cafe,7,19,5,16.5,2,19,11071
22497,22.2,rented,walk,cafe,6,15,0,3.8,4,25,13581
15142,27.5,hostel,walk,home,0,22,5,8.4,4,3,8202
22404,26.7,rented,bicycle,mess,5,24,2,2.8,3,24,13129
21524,5.9,home,public,mixed,7,36,0,10.6,4,29,13645
3639,19.7,home,bicycle,mixed,10,2,0,3.1,2,13,7179
15201,26.7,hostel,walk,home,4,18,2,19.0,3,4,9884
22708,17.9,hostel,own_vehicle,mixed,4,21,3,11.6,4,26,13598
15262,5.1,hostel,own_vehicle,home,12,8,0,7.1,3,19,12376
22574,13.2,home,bicycle,cafe,6,11,1,18.8,2,3,12641
22955,0.4,pg,bicycle,cafe,7,1,2,10.5,4,28,13171
15740,9.2,rented,public,cafe,9,14,4,9.3,2,3,13438
10594,16.1,rented,walk,mixed,1,8,2,7.3,3,6,7429
6330,5.2,hostel,walk,home,6,8,5,4.5,1,29,6771
5227,27.9,home,bicycle,home,10,29,3,4.0,3,17,9308
24054,16.5,pg,public,cafe,11,20,4,7.2,2,18,16584
24908,9.3,rented,bicycle,cafe,1,25,0,19.6,3,15,13357
15066,18.5,home,walk,mess,5,3,4,17.2,1,11,9262
13109,18.1,rented,own_vehicle,mixed,4,17,3,5.4,3,20,11161
10039,10.8,pg,public,mixed,8,18,0,16.8,4,3,10857
14678,17.5,home,bicycle,cafe,4,38,1,1.7,2,15,10150
19729,16.1,pg,bicycle,mess,8,13,3,2.6,1,22,12174
9587,7.3,pg,own_vehicle,mess,8,30,4,11.2,2,25,11907
21245,2.2,pg,own_vehicle,mixed,3,0,2,16.7,4,5,11723
13353,20.6,rented,bicycle,mess,7,19,3,7.2,2,29,11435
13729,21.9,home,walk,mess,8,36,6,3.0,4,21,11742
18675,5.8,rented,own_vehicle,mixed,1,30,3,15.1,2,18,12449
16024,17.7,hostel,public,home,3,25,1,12.2,3,28,9907
15323,18.9,home,public,cafe,0,39,4,11.9,1,22,10114
4210,3.5,rented,own_vehicle,home,9,1,4,18.2,3,5,9798
6119,21.2,home,public,cafe,2,18,3,6.3,3,19,6896
24954,18.5,home,public,mixed,2,35,2,16.7,4,10,13195
23811,21.4,rented,bicycle,mess,9,3,1,3.7,4,23,13930
22130,14.0,hostel,bicycle,cafe,8,34,1,13.1,4,28,15011
5685,14.0,rented,public,cafe,5,6,6,6.1,2,13,8791
19264,22.9,pg,own_vehicle,mess,1,11,5,5.1,1,6,10382
20306,15.2,home,walk,mess,9,15,4,19.7,4,26,13617
20654,2.6,rented,walk,mess,11,39,5,18.4,2,26,16799
6452,13.5,hostel,public,cafe,2,35,6,9.1,4,18,8723
9806,6.8,rented,walk,cafe,11,32,4,15.3,4,30,14126
3389,23.1,rented,bicycle,home,10,25,0,15.2,1,3,9792
21863,7.4,hostel,walk,home,8,8,6,11.9,4,9,12682
7404,19.5,rented,public,mess,3,27,0,11.9,3,26,8728
20531,24.0,hostel,walk,cafe,5,3,1,6.7,4,6,11049
16122,2.3,rented,own_vehicle,home,6,25,1,18.4,1,6,12593
14425,15.4,home,bicycle,home,5,15,6,12.8,1,20,9613
13940,16.4,home,walk,cafe,10,18,3,13.6,1,20,12329
13954,25.9,home,bicycle,mixed,9,11,2,7.6,1,3,10655
15446,8.8,home,walk,home,8,15,3,10.2,4,0,10377
8190,16.4,home,own_vehicle,mixed,0,21,1,6.6,1,12,6482
11352,7.8,home,walk,mess,1,39,5,9.8,3,20,8212
9708,10.2,rented,own_vehicle,cafe,0,23,0,1.7,1,4,8041
19069,29.4,hostel,public,home,7,26,1,9.0,1,8,12114
23767,7.9,rented,own_vehicle,mess,8,37,1,12.2,2,29,16521
3708,17.3,hostel,own_vehicle,mixed,6,16,5,15.4,1,18,9002
8691,5.4,rented,own_vehicle,cafe,5,22,0,17.3,2,26,11111
13769,16.2,home,bicycle,mixed,1,29,2,17.9,1,20,8924
16920,24.2,hostel,walk,mixed,4,2,1,6.8,2,18,9138
19511,22.8,hostel,own_vehicle,home,8,30,3,13.4,3,30,14466
19776,6.8,pg,bicycle,mixed,4,30,3,1.3,3,3,11481
10620,21.6,hostel,walk,cafe,3,32,6,13.1,4,0,10040
9104,16.4,home,bicycle,cafe,4,10,0,18.6,1,20,8005
8583,25.9,pg,walk,mess,11,22,3,9.8,1,8,11275
12158,2.2,hostel,own_vehicle,cafe,1,36,1,4.0,3,24,9353
10870,25.2,hostel,walk,mixed,11,39,2,2.9,2,4,12148
12078,16.4,home,walk,mixed,2,24,2,17.4,4,6,8598
9007,5.5,hostel,own_vehicle,cafe,12,9,1,6.5,3,26,11872
24157,20.3,pg,own_vehicle,mess,1,34,6,12.8,1,6,13623
13009,11.6,home,walk,mixed,3,3,3,1.2,4,14,7152
24390,5.3,pg,walk,mess,9,21,6,16.1,4,28,15712
16569,21.7,hostel,public,home,6,34,4,1.6,3,14,11434
18590,18.2,hostel,walk,mess,7,15,1,7.3,1,0,10797
18118,6.6,home,walk,home,12,2,5,9.6,2,2,12125
6576,6.3,home,walk,mixed,1,24,3,3.7,1,0,5281
11319,9.6,rented,own_vehicle,mess,7,7,4,4.2,1,15,10621
3206,13.8,rented,bicycle,mixed,0,9,6,5.3,3,9,5475
7317,5.7,pg,walk,mixed,0,9,2,4.4,3,24,5386
5696,4.4,hostel,public,cafe,11,28,6,17.0,2,12,11992
23218,0.9,pg,own_vehicle,cafe,5,6,1,18.5,4,13,13895
5585,19.6,rented,walk,home,4,22,6,14.1,3,3,8520
15526,1.3,hostel,walk,mess,5,34,4,18.5,1,5,11014
17085,16.3,home,public,mixed,4,30,4,9.1,4,4,11199
10008,14.0,hostel,walk,cafe,4,29,2,1.4,2,14,8588
24540,16.8,hostel,walk,mess,7,18,4,17.1,2,2,13798
17325,9.2,hostel,own_vehicle,home,6,38,5,12.9,2,25,13251
13683,29.4,rented,public,mixed,4,28,0,10.6,1,7,11063
21811,29.0,home,public,cafe,6,11,1,14.6,1,5,12693
5160,29.9,pg,own_vehicle,home,0,22,2,1.0,2,24,6159
10137,0.3,hostel,walk,mixed,3,18,5,14.6,4,14,8396
10840,17.9,hostel,walk,mess,1,16,0,8.7,1,0,6111
21993,28.7,hostel,own_vehicle,home,3,8,5,10.4,4,23,12063
22070,20.3,home,walk,mixed,0,34,6,14.9,3,17,11623
5693,28.3,home,own_vehicle,cafe,6,15,0,2.0,3,21,8470
10180,7.6,hostel,walk,home,7,5,0,10.9,1,10,7664
6029,19.9,rented,public,cafe,8,9,6,11.9,3,4,10818
3595,5.8,rented,walk,mess,5,13,2,15.5,3,13,7459
16471,1.1,rented,own_vehicle,cafe,4,37,5,6.2,4,13,13569
17470,4.6,hostel,walk,mess,8,8,2,17.7,1,25,11366
7563,21.2,hostel,bicycle,home,10,14,4,9.5,3,30,9940
3036,4.6,home,bicycle,mess,8,22,4,17.9,4,8,8244
13641,27.2,home,bicycle,cafe,10,12,3,6.9,2,11,11749
17890,0.7,rented,walk,home,9,6,6,11.6,2,17,12677
13879,3.4,hostel,own_vehicle,mess,10,11,6,13.0,3,11,12642
21496,0.7,home,walk,mess,0,29,4,4.3,1,8,9088
16974,12.4,hostel,walk,home,8,15,4,3.7,1,0,10592
5940,21.8,pg,bicycle,home,9,40,3,2.3,1,4,9887
3962,19.7,rented,public,mess,7,27,3,15.3,2,30,10058
11472,9.5,hostel,public,home,2,28,3,19.8,3,12,8802
3824,3.4,hostel,public,home,0,23,3,14.7,2,30,5190
13129,14.9,pg,public,home,5,35,3,2.6,4,17,10510
8540,5.1,rented,walk,home,7,11,3,9.6,1,16,8933
15844,25.4,home,public,mixed,2,8,2,19.7,4,28,9731
16394,25.6,home,public,cafe,7,29,6,2.5,2,18,12635
4969,19.2,rented,walk,mess,6,6,6,10.7,4,9,8449
7770,3.9,rented,public,home,4,3,2,14.8,4,17,7827
7992,28.4,pg,walk,cafe,12,40,3,17.0,3,5,13989
14695,7.9,pg,walk,mixed,10,17,6,6.4,1,24,12657
7054,3.2,home,bicycle,mess,8,9,3,5.7,4,7,7642
13050,6.9,rented,bicycle,mess,8,33,2,12.1,4,17,12468
3760,29.8,home,public,mess,5,6,6,2.9,1,5,6086
5985,5.0,rented,public,home,10,17,0,16.2,2,7,10156
3960,3.7,home,walk,cafe,9,33,3,1.1,2,15,8840
7662,3.2,home,walk,mess,3,10,0,20.0,2,3,6022
22486,13.5,hostel,walk,mess,12,17,0,18.8,2,9,14834
18559,24.4,pg,walk,mixed,11,6,4,16.6,4,1,14324
6439,26.6,home,bicycle,cafe,10,39,6,19.8,3,3,12496
22065,19.5,home,public,cafe,0,40,0,2.5,4,10,10997
10322,10.3,pg,walk,mess,7,10,4,11.0,4,16,9667
3113,14.3,home,walk,home,7,7,3,3.0,1,17,5629
19776,3.5,home,bicycle,home,3,38,6,12.2,4,8,11360
18765,14.8,hostel,bicycle,mixed,5,14,0,9.5,4,17,10810
6474,27.0,hostel,bicycle,cafe,8,0,5,14.7,3,25,9586
14530,14.1,hostel,walk,home,10,16,5,17.5,2,25,12309
7422,6.6,home,bicycle,home,1,25,4,1.7,4,19,5552
24918,22.9,rented,own_vehicle,cafe,6,30,0,8.4,4,21,16414
14682,2.2,hostel,bicycle,cafe,11,9,0,7.1,1,26,11709
16322,26.9,pg,own_vehicle,mess,0,30,0,5.1,3,1,9691
24259,15.8,rented,bicycle,cafe,3,7,4,11.2,2,18,13103
7487,8.8,rented,walk,home,0,0,2,18.3,4,19,5932
5444,24.5,rented,bicycle,mess,2,6,2,18.3,4,15,7118
14951,23.0,home,public,mixed,11,15,1,13.7,3,7,12703
13153,16.6,hostel,walk,cafe,0,7,6,6.2,4,13,7691
11505,23.1,pg,own_vehicle,mixed,1,20,3,5.7,3,10,9077
6642,4.3,hostel,own_vehicle,mixed,5,6,1,5.4,3,24,7580
21441,15.0,hostel,public,cafe,4,9,3,17.2,1,24,12296
22613,14.0,pg,own_vehicle,mess,2,18,6,6.6,3,24,12566
12181,12.8,home,own_vehicle,home,0,22,0,9.4,1,14,7049
9670,2.0,home,walk,cafe,6,16,6,13.4,2,15,9463
24776,21.7,pg,walk,mixed,5,19,1,11.1,2,28,13550
17493,9.0,hostel,public,cafe,11,29,5,4.4,1,5,14280
21436,5.3,rented,own_vehicle,mixed,2,28,1,11.5,3,1,12883
17702,12.6,rented,bicycle,mess,7,24,5,4.9,4,30,13067
5215,25.8,pg,public,home,11,35,3,10.0,2,11,11305
22783,3.9,home,own_vehicle,mess,6,1,6,6.0,4,18,12334
10659,5.5,rented,public,home,4,0,2,16.0,2,15,8384
9554,17.4,hostel,public,mixed,6,16,6,1.2,2,21,9232
24503,22.2,home,own_vehicle,mess,11,30,4,12.3,4,15,17026
14108,10.5,pg,own_vehicle,mess,9,1,1,16.8,3,4,11867
8928,14.4,home,bicycle,mixed,11,13,1,2.1,2,5,9544
24085,4.6,hostel,walk,mess,7,23,5,17.9,4,19,14255
6954,29.1,hostel,own_vehicle,home,0,18,1,12.7,3,3,6417
12468,8.2,home,bicycle,mess,5,11,0,16.9,1,6,8178
22153,25.7,pg,bicycle,mess,2,26,4,16.1,1,3,12089
11720,5.7,home,public,mixed,1,3,3,11.4,1,14,6585
18222,26.5,hostel,bicycle,mess,6,12,3,17.9,1,28,11698
14220,20.6,hostel,public,home,3,11,3,16.9,2,8,8965
12163,11.4,pg,walk,mixed,2,36,2,15.9,4,7,9862
21193,0.4,pg,walk,mixed,12,20,2,2.2,3,19,14590
23078,24.6,rented,walk,home,11,38,1,3.4,2,24,16082
19163,5.6,hostel,bicycle,mess,6,14,2,13.4,3,24,11298
21455,24.5,hostel,bicycle,mixed,11,26,3,8.5,3,26,15326
8624,13.7,pg,public,cafe,3,37,3,6.0,3,0,9429
17832,21.7,home,public,mess,6,31,2,15.3,1,5,11926
4461,16.5,hostel,bicycle,mess,2,11,6,2.5,3,24,5395
12807,26.5,pg,walk,cafe,4,34,4,18.4,2,5,11750
8140,10.6,pg,bicycle,home,2,0,1,5.6,1,1,5025
8045,24.3,rented,public,mess,1,39,5,5.3,3,9,8881
13766,23.9,hostel,bicycle,mixed,9,32,6,11.5,3,22,13226
9820,18.8,pg,bicycle,home,4,15,3,18.5,4,4,8804
3237,24.4,hostel,public,home,1,8,6,19.4,3,24,5840
11854,2.9,hostel,own_vehicle,cafe,12,38,3,6.9,2,30,14472
4849,3.7,pg,own_vehicle,mixed,3,4,3,9.7,3,8,6995
8244,2.2,hostel,own_vehicle,home,9,17,5,2.8,2,28,10008
17684,10.4,hostel,bicycle,home,6,28,0,14.4,1,15,11040
15202,7.1,home,bicycle,mixed,4,30,2,3.9,4,8,9614
15553,3.3,pg,walk,mixed,1,28,6,15.6,1,0,9958
21713,17.9,rented,public,home,4,3,1,4.2,1,2,10728
14594,20.8,rented,public,mess,5,6,2,5.0,2,3,9900
22067,19.3,rented,bicycle,mess,8,28,3,18.4,4,20,15595
7576,8.0,pg,public,cafe,2,9,0,10.5,2,22,7110
11335,18.9,rented,walk,home,11,0,2,15.7,4,15,11627
4358,13.1,home,bicycle,home,3,10,4,12.2,4,11,5470
6121,10.9,hostel,bicycle,cafe,7,34,5,6.5,4,8,9912
4878,26.5,rented,public,home,11,34,1,19.5,3,22,12309
17327,21.4,home,bicycle,mixed,12,11,0,15.1,3,12,13278
18802,3.9,pg,public,cafe,3,40,6,7.1,3,2,12747
22189,11.9,pg,bicycle,home,5,0,6,3.0,2,11,10981
24747,28.0,home,bicycle,cafe,7,11,4,8.8,3,28,14125
8907,19.5,hostel,bicycle,home,3,17,0,6.5,2,19,6518
3375,23.7,home,own_vehicle,home,11,28,0,3.6,4,0,9481
11594,27.6,rented,walk,cafe,6,12,1,2.3,3,20,10370
4289,0.8,pg,walk,mess,11,5,4,5.2,3,24,8785
9579,16.3,pg,bicycle,home,4,29,0,2.7,2,12,7873
3189,20.9,home,walk,home,7,31,5,1.7,4,8,7469
16114,3.5,home,walk,mixed,6,8,3,6.3,3,0,9467
3482,17.3,pg,own_vehicle,home,3,17,3,2.7,4,21,6796
7804,25.8,hostel,bicycle,home,12,26,0,1.2,3,9,10232
6052,29.0,rented,bicycle,home,11,6,3,7.6,3,3,10125
9443,13.9,home,own_vehicle,mixed,8,23,3,19.1,1,13,11390
9829,23.7,rented,bicycle,mess,4,27,6,2.3,3,27,9849
14147,3.2,home,walk,mess,7,39,4,11.7,2,9,11180
8988,1.4,pg,public,home,7,19,2,15.7,1,24,9578
19259,5.2,rented,public,mixed,12,21,6,4.7,4,18,15908
11373,13.6,hostel,bicycle,cafe,4,34,2,15.2,4,26,10569
7483,12.7,hostel,public,mixed,2,12,4,9.2,3,2,6774
24392,0.6,hostel,public,home,8,21,5,17.8,4,23,14724
11779,5.4,home,public,home,5,37,4,1.3,1,18,9046
10221,14.4,hostel,public,mixed,0,19,3,17.1,4,23,7862
6075,8.9,home,public,cafe,3,29,0,8.5,4,2,7254
20767,22.6,rented,own_vehicle,cafe,6,29,1,13.9,4,24,15740
10662,12.2,hostel,public,cafe,11,5,4,8.1,1,30,11530
4959,4.6,home,bicycle,mess,0,33,2,7.4,4,20,5178
21418,11.7,rented,bicycle,cafe,6,27,0,7.4,1,7,13537
11125,13.4,home,bicycle,home,0,25,3,13.2,2,0,6552
16256,14.2,hostel,bicycle,home,11,11,3,8.8,4,29,12365
21829,19.3,hostel,walk,mixed,8,32,3,7.3,3,21,14175
22588,24.3,hostel,own_vehicle,mixed,12,13,4,8.9,3,21,16431
8543,21.0,home,own_vehicle,mess,11,20,6,19.9,3,27,12831
